ANO;MES;NM_MES;REGIAO - SIGLA;ESTADO - SIGLA;NM_ESTADO;MUNICIPIO;PRODUTO;VL_MEDIO_VENDA
2022;1;JANEIRO;CO;GO;GOIÁS;MORRINHOS;GASOLINA;7.04
2022;1;JANEIRO;CO;GO;GOIÁS;MORRINHOS;GASOLINA ADITIVADA;7.08
2022;1;JANEIRO;CO;GO;GOIÁS;RIO VERDE;DIESEL;5.52
2022;1;JANEIRO;CO;GO;GOIÁS;RIO VERDE;DIESEL S10;5.62
2022;1;JANEIRO;CO;GO;GOIÁS;RIO VERDE;ETANOL;4.95
2022;1;JANEIRO;CO;GO;GOIÁS;RIO VERDE;GASOLINA;6.92
2022;1;JANEIRO;CO;GO;GOIÁS;RIO VERDE;GASOLINA ADITIVADA;6.99
2022;1;JANEIRO;CO;GO;GOIÁS;TRINDADE;DIESEL;5.44
2022;1;JANEIRO;CO;GO;GOIÁS;TRINDADE;DIESEL S10;5.55
2022;1;JANEIRO;CO;GO;GOIÁS;TRINDADE;ETANOL;4.95
2022;1;JANEIRO;CO;GO;GOIÁS;TRINDADE;GASOLINA;6.98
2022;1;JANEIRO;CO;GO;GOIÁS;TRINDADE;GASOLINA ADITIVADA;7.25
2022;1;JANEIRO;CO;GO;GOIÁS;VALPARAISO DE GOIAS;DIESEL;5.49
2022;1;JANEIRO;CO;GO;GOIÁS;VALPARAISO DE GOIAS;DIESEL S10;5.55
2022;1;JANEIRO;CO;GO;GOIÁS;VALPARAISO DE GOIAS;ETANOL;5.12
2022;1;JANEIRO;CO;GO;GOIÁS;VALPARAISO DE GOIAS;GASOLINA;6.84
2022;1;JANEIRO;CO;GO;GOIÁS;VALPARAISO DE GOIAS;GASOLINA ADITIVADA;6.96
2022;1;JANEIRO;CO;MS;MATO GROSSO DO SUL;CAMPO GRANDE;DIESEL;5.35
2022;1;JANEIRO;CO;MS;MATO GROSSO DO SUL;CAMPO GRANDE;DIESEL S10;5.4
2022;1;JANEIRO;CO;MS;MATO GROSSO DO SUL;CAMPO GRANDE;ETANOL;5.09
2022;1;JANEIRO;CO;MS;MATO GROSSO DO SUL;CAMPO GRANDE;GASOLINA;6.43
2022;1;JANEIRO;CO;MS;MATO GROSSO DO SUL;CAMPO GRANDE;GASOLINA ADITIVADA;6.61
2022;1;JANEIRO;CO;MS;MATO GROSSO DO SUL;CAMPO GRANDE;GNV;4.44
2022;1;JANEIRO;CO;MS;MATO GROSSO DO SUL;CORUMBA;DIESEL;5.96
2022;1;JANEIRO;CO;MS;MATO GROSSO DO SUL;CORUMBA;DIESEL S10;6.06
2022;1;JANEIRO;CO;MS;MATO GROSSO DO SUL;CORUMBA;ETANOL;5.7
2022;1;JANEIRO;CO;MS;MATO GROSSO DO SUL;CORUMBA;GASOLINA;7.14
2022;1;JANEIRO;CO;MS;MATO GROSSO DO SUL;CORUMBA;GASOLINA ADITIVADA;7.22
2022;1;JANEIRO;CO;MS;MATO GROSSO DO SUL;COXIM;DIESEL;5.58
2022;1;JANEIRO;CO;MS;MATO GROSSO DO SUL;COXIM;DIESEL S10;5.67
2022;1;JANEIRO;CO;MS;MATO GROSSO DO SUL;COXIM;ETANOL;5.69
2022;1;JANEIRO;CO;MS;MATO GROSSO DO SUL;COXIM;GASOLINA;6.92
2022;1;JANEIRO;CO;MS;MATO GROSSO DO SUL;COXIM;GASOLINA ADITIVADA;6.96
2022;1;JANEIRO;CO;MS;MATO GROSSO DO SUL;DOURADOS;DIESEL;5.32
2022;1;JANEIRO;CO;MS;MATO GROSSO DO SUL;DOURADOS;DIESEL S10;5.4
2022;1;JANEIRO;CO;MS;MATO GROSSO DO SUL;DOURADOS;ETANOL;5.29
2022;1;JANEIRO;CO;MS;MATO GROSSO DO SUL;DOURADOS;GASOLINA;6.37
2022;1;JANEIRO;CO;MS;MATO GROSSO DO SUL;DOURADOS;GASOLINA ADITIVADA;6.55
2022;1;JANEIRO;CO;MS;MATO GROSSO DO SUL;PONTA PORA;DIESEL;5.5
2022;1;JANEIRO;CO;MS;MATO GROSSO DO SUL;PONTA PORA;DIESEL S10;5.61
2022;1;JANEIRO;CO;MS;MATO GROSSO DO SUL;PONTA PORA;ETANOL;5.58
2022;1;JANEIRO;CO;MS;MATO GROSSO DO SUL;PONTA PORA;GASOLINA;6.79
2022;1;JANEIRO;CO;MS;MATO GROSSO DO SUL;PONTA PORA;GASOLINA ADITIVADA;6.87
2022;1;JANEIRO;CO;MS;MATO GROSSO DO SUL;TRES LAGOAS;DIESEL;5.59
2022;1;JANEIRO;CO;MS;MATO GROSSO DO SUL;TRES LAGOAS;DIESEL S10;5.7
2022;1;JANEIRO;CO;MS;MATO GROSSO DO SUL;TRES LAGOAS;ETANOL;5.47
2022;1;JANEIRO;CO;MS;MATO GROSSO DO SUL;TRES LAGOAS;GASOLINA;6.76
2022;1;JANEIRO;CO;MS;MATO GROSSO DO SUL;TRES LAGOAS;GASOLINA ADITIVADA;6.92
2022;1;JANEIRO;CO;MT;MATO GROSSO;ALTA FLORESTA;DIESEL;6.41
2022;1;JANEIRO;CO;MT;MATO GROSSO;ALTA FLORESTA;DIESEL S10;6.5
2022;1;JANEIRO;CO;MT;MATO GROSSO;ALTA FLORESTA;ETANOL;5.36
2022;1;JANEIRO;CO;MT;MATO GROSSO;ALTA FLORESTA;GASOLINA;7.1
2022;1;JANEIRO;CO;MT;MATO GROSSO;ALTA FLORESTA;GASOLINA ADITIVADA;7.21
2022;1;JANEIRO;CO;MT;MATO GROSSO;CACERES;DIESEL;5.65
2022;1;JANEIRO;CO;MT;MATO GROSSO;CACERES;DIESEL S10;5.73
2022;1;JANEIRO;CO;MT;MATO GROSSO;CACERES;ETANOL;4.77
2022;1;JANEIRO;CO;MT;MATO GROSSO;CACERES;GASOLINA;6.38
2022;1;JANEIRO;CO;MT;MATO GROSSO;CACERES;GASOLINA ADITIVADA;6.55
2022;1;JANEIRO;CO;MT;MATO GROSSO;CUIABA;DIESEL;5.73
2022;1;JANEIRO;CO;MT;MATO GROSSO;CUIABA;DIESEL S10;5.83
2022;1;JANEIRO;CO;MT;MATO GROSSO;CUIABA;ETANOL;4.67
2022;1;JANEIRO;CO;MT;MATO GROSSO;CUIABA;GASOLINA;6.47
2022;1;JANEIRO;CO;MT;MATO GROSSO;CUIABA;GASOLINA ADITIVADA;6.58
2022;1;JANEIRO;CO;MT;MATO GROSSO;CUIABA;GNV;3.18
2022;1;JANEIRO;CO;MT;MATO GROSSO;RONDONOPOLIS;DIESEL;6.05
2022;1;JANEIRO;CO;MT;MATO GROSSO;RONDONOPOLIS;DIESEL S10;6.14
2022;1;JANEIRO;CO;MT;MATO GROSSO;RONDONOPOLIS;ETANOL;4.84
2022;1;JANEIRO;CO;MT;MATO GROSSO;RONDONOPOLIS;GASOLINA;6.58
2022;1;JANEIRO;CO;MT;MATO GROSSO;RONDONOPOLIS;GASOLINA ADITIVADA;6.67
2022;1;JANEIRO;CO;MT;MATO GROSSO;SINOP;DIESEL;5.81
2022;1;JANEIRO;CO;MT;MATO GROSSO;SINOP;DIESEL S10;5.94
2022;1;JANEIRO;CO;MT;MATO GROSSO;SINOP;ETANOL;4.87
2022;1;JANEIRO;CO;MT;MATO GROSSO;SINOP;GASOLINA;6.61
2022;1;JANEIRO;CO;MT;MATO GROSSO;SINOP;GASOLINA ADITIVADA;6.71
2022;1;JANEIRO;CO;MT;MATO GROSSO;SORRISO;DIESEL;5.96
2022;1;JANEIRO;CO;MT;MATO GROSSO;SORRISO;DIESEL S10;6.08
2022;1;JANEIRO;CO;MT;MATO GROSSO;SORRISO;ETANOL;5.11
2022;1;JANEIRO;CO;MT;MATO GROSSO;SORRISO;GASOLINA;6.82
2022;1;JANEIRO;CO;MT;MATO GROSSO;SORRISO;GASOLINA ADITIVADA;6.93
2022;1;JANEIRO;CO;MT;MATO GROSSO;VARZEA GRANDE;DIESEL;5.61
2022;1;JANEIRO;CO;MT;MATO GROSSO;VARZEA GRANDE;DIESEL S10;5.76
2022;1;JANEIRO;CO;MT;MATO GROSSO;VARZEA GRANDE;ETANOL;4.64
2022;1;JANEIRO;CO;MT;MATO GROSSO;VARZEA GRANDE;GASOLINA;6.39
2022;1;JANEIRO;CO;MT;MATO GROSSO;VARZEA GRANDE;GASOLINA ADITIVADA;6.53
2022;1;JANEIRO;CO;MT;MATO GROSSO;VARZEA GRANDE;GNV;3.19
2022;1;JANEIRO;N;AC;ACRE;CRUZEIRO DO SUL;DIESEL;6.68
2022;1;JANEIRO;N;AC;ACRE;CRUZEIRO DO SUL;DIESEL S10;6.71
2022;1;JANEIRO;N;AC;ACRE;CRUZEIRO DO SUL;ETANOL;6.65
2022;1;JANEIRO;N;AC;ACRE;CRUZEIRO DO SUL;GASOLINA;7.58
2022;1;JANEIRO;N;AC;ACRE;CRUZEIRO DO SUL;GASOLINA ADITIVADA;7.57
2022;1;JANEIRO;N;AC;ACRE;RIO BRANCO;DIESEL;6.19
2022;1;JANEIRO;N;AC;ACRE;RIO BRANCO;DIESEL S10;6.21
2022;1;JANEIRO;N;AC;ACRE;RIO BRANCO;ETANOL;6.11
2022;1;JANEIRO;N;AC;ACRE;RIO BRANCO;GASOLINA;6.93
2022;1;JANEIRO;N;AC;ACRE;RIO BRANCO;GASOLINA ADITIVADA;7.04
2022;1;JANEIRO;N;AM;AMAZONAS;ITACOATIARA;DIESEL;5.96
2022;1;JANEIRO;N;AM;AMAZONAS;ITACOATIARA;DIESEL S10;6.07
2022;1;JANEIRO;N;AM;AMAZONAS;ITACOATIARA;ETANOL;5.84
2022;1;JANEIRO;N;AM;AMAZONAS;ITACOATIARA;GASOLINA;6.93
2022;1;JANEIRO;N;AM;AMAZONAS;ITACOATIARA;GASOLINA ADITIVADA;6.94
2022;1;JANEIRO;N;AM;AMAZONAS;MANAUS;DIESEL;5.49
2022;1;JANEIRO;N;AM;AMAZONAS;MANAUS;DIESEL S10;5.53
2022;1;JANEIRO;N;AM;AMAZONAS;MANAUS;ETANOL;5.33
2022;1;JANEIRO;N;AM;AMAZONAS;MANAUS;GASOLINA;6.58
2022;1;JANEIRO;N;AM;AMAZONAS;MANAUS;GASOLINA ADITIVADA;6.65
2022;1;JANEIRO;N;AM;AMAZONAS;MANAUS;GNV;4.3
